0 fu{2} src{16, -1} dst{4} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
1 fu{0} src{4, 0} dst{-1} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 5} 
2 fu{2} src{28, -1} dst{2} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
3 fu{2} src{16, -1} dst{3} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
4 fu{0} src{16, 2} dst{-1} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 5} 
5 fu{0} src{3, 0} dst{-1} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 5} 
6 fu{0} src{16, -1} dst{2} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 5} 
7 fu{0} src{2, -1} dst{2} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 5} 
8 fu{0} src{2, 0} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
9 fu{0} src{0, -1} dst{2} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
10 fu{0} src{16, 0} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
11 fu{0} src{16, 0} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
12 fu{0} src{16, 0} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
13 fu{0} src{16, 2} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
14 fu{0} src{28, 16} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
15 fu{2} src{29, -1} dst{31} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 6} WB{10, 1} 
16 fu{2} src{29, -1} dst{16} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 6} WB{11, 1} 
17 fu{0} src{29, -1} dst{29} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 5} 
18 fu{0} src{31, -1} dst{-1} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 5} 
19 fu{2} src{28, -1} dst{2} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 6} WB{11, 1} 
20 fu{2} src{16, -1} dst{3} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 6} WB{11, 1} 
21 fu{0} src{16, 2} dst{-1} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 5} 
22 fu{0} src{3, 0} dst{-1} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 5} 
23 fu{0} src{16, -1} dst{2} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 5} 
24 fu{0} src{2, -1} dst{2} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
25 fu{0} src{2, 0} dst{-1} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
26 fu{0} src{0, -1} dst{2} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
27 fu{0} src{16, 0} dst{-1} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
28 fu{0} src{16, 0} dst{-1} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
29 fu{0} src{16, 0} dst{-1} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
30 fu{0} src{16, 2} dst{-1} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
31 fu{0} src{28, 16} dst{-1} IF{3, 1} ID{4, 1} IS{5, 1} EX{6, 2} WB{8, 4} 
32 fu{2} src{29, -1} dst{31} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 6} WB{13, 1} 
33 fu{2} src{29, -1} dst{16} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 6} WB{13, 1} 
34 fu{0} src{29, -1} dst{29} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 2} WB{9, 5} 
35 fu{0} src{31, -1} dst{-1} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 2} WB{9, 5} 
36 fu{2} src{17, -1} dst{4} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 6} WB{13, 1} 
37 fu{0} src{-1, -1} dst{31} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 2} WB{9, 5} 
38 fu{0} src{29, -1} dst{29} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 2} WB{9, 5} 
39 fu{0} src{29, 31} dst{-1} IF{4, 1} ID{5, 1} IS{6, 1} EX{7, 2} WB{9, 5} 
40 fu{0} src{4, 0} dst{-1} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 2} WB{10, 4} 
41 fu{0} src{-1, -1} dst{31} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 2} WB{10, 4} 
42 fu{0} src{29, -1} dst{29} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 2} WB{10, 4} 
43 fu{0} src{29, 31} dst{-1} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 2} WB{10, 4} 
44 fu{0} src{4, 0} dst{-1} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 2} WB{10, 4} 
45 fu{2} src{28, -1} dst{3} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 6} WB{14, 1} 
46 fu{0} src{3, 0} dst{-1} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 2} WB{10, 5} 
47 fu{2} src{28, -1} dst{2} IF{5, 1} ID{6, 1} IS{7, 1} EX{8, 6} WB{14, 1} 
48 fu{0} src{2, 0} dst{-1} IF{6, 1} ID{7, 1} IS{8, 1} EX{9, 2} WB{11, 4} 
49 fu{0} src{-1, -1} dst{31} IF{6, 1} ID{7, 1} IS{8, 1} EX{9, 2} WB{11, 4} 
50 fu{2} src{28, -1} dst{10} IF{6, 1} ID{7, 1} IS{8, 1} EX{9, 6} WB{15, 1} 
51 fu{0} src{29, -1} dst{29} IF{6, 1} ID{7, 1} IS{8, 1} EX{9, 2} WB{11, 5} 
