0 fu{0} src{29, 14} dst{-1} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 1} 
1 fu{2} src{29, -1} dst{14} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
2 fu{2} src{29, -1} dst{15} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
3 fu{2} src{30, -1} dst{19} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
4 fu{2} src{14, -1} dst{14} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
5 fu{2} src{15, -1} dst{16} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 6} WB{9, 1} 
6 fu{0} src{29, 14} dst{-1} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 5} 
7 fu{0} src{19, -1} dst{3} IF{0, 1} ID{1, 1} IS{2, 1} EX{3, 2} WB{5, 5} 
8 fu{1} src{0, 0} dst{23} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 3} WB{7, 3} 
9 fu{1} src{0, 0} dst{18} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 3} WB{7, 3} 
10 fu{0} src{3, 0} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
11 fu{0} src{0, -1} dst{2} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
12 fu{0} src{3, 2} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
13 fu{0} src{19, -1} dst{3} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
14 fu{0} src{3, -1} dst{2} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
15 fu{0} src{2, 0} dst{-1} IF{1, 1} ID{2, 1} IS{3, 1} EX{4, 2} WB{6, 4} 
16 fu{0} src{22, -1} dst{2} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 3} 
17 fu{0} src{2, 3} dst{2} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 3} 
18 fu{0} src{2, 0} dst{-1} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 3} 
19 fu{0} src{21, 0} dst{-1} IF{2, 1} ID{3, 1} IS{4, 1} EX{5, 2} WB{7, 3} 
